documents_per_change,frequency,percentage
1,8865,93.2
2,200,2.1
3,68,0.7
4,49,0.5
5,26,0.3
6,32,0.3
7,22,0.2
8,17,0.2
9,15,0.2
10,18,0.2
11,11,0.1
12,15,0.2
13,5,0.1
14,4,0.0
15,3,0.0
16,4,0.0
17,2,0.0
18,2,0.0
19,11,0.1
20,5,0.1
21,4,0.0
22,1,0.0
23,3,0.0
24,2,0.0
25,2,0.0
26,2,0.0
27,2,0.0
28,4,0.0
29,1,0.0
30,5,0.1
31,2,0.0
32,3,0.0
33,2,0.0
34,3,0.0
35,5,0.1
36,2,0.0
37,1,0.0
39,2,0.0
41,3,0.0
42,2,0.0
44,3,0.0
45,2,0.0
46,1,0.0
47,3,0.0
48,3,0.0
49,2,0.0
50,2,0.0
51,3,0.0
53,2,0.0
54,2,0.0
56,1,0.0
57,3,0.0
61,1,0.0
62,1,0.0
64,2,0.0
65,1,0.0
66,1,0.0
67,1,0.0
69,1,0.0
71,2,0.0
78,1,0.0
79,1,0.0
82,1,0.0
84,1,0.0
85,1,0.0
87,2,0.0
90,1,0.0
92,1,0.0
96,1,0.0
100,1,0.0
103,1,0.0
104,1,0.0
105,1,0.0
107,1,0.0
108,2,0.0
111,1,0.0
123,1,0.0
124,1,0.0
133,2,0.0
139,2,0.0
143,1,0.0
146,1,0.0
151,1,0.0
177,1,0.0
200,1,0.0
239,1,0.0
396,1,0.0
1000,22,0.2
