employee_code,event_type,count
IC108409,Document attributes changed,15
IC112226,Document attributes changed,4
IC114957,Document attributes changed,3
IC118451,Document attributes changed,34
IC132270,Document attributes changed,4
IC136830,Document attributes changed,9
IC140080,Document attributes changed,9
IC140139,Document attributes changed,14
IC140677,Document attributes changed,23
IC148491,Document attributes changed,29
IC149153,Document attributes changed,14
IC152940,Document attributes changed,6
IC191000,Document attributes changed,1
IC193305,Document attributes changed,18
IC204728,Document attributes changed,1
IC208286,Document attributes changed,5
IC208299,Document attributes changed,3
IC230839,Document attributes changed,1
IC231889,Document attributes changed,1
IC234175,Document attributes changed,1
IC238734,Document attributes changed,1
IC239430,Document attributes changed,40
IC247163,Document attributes changed,4
IC247614,Document attributes changed,1
IC248683,Document attributes changed,3
IC250881,Document attributes changed,1
IC251427,Document attributes changed,22
IC251428,Document attributes changed,20
IC251430,Document attributes changed,61
IC251433,Document attributes changed,7
IC251435,Document attributes changed,84
IC251437,Document attributes changed,31
IC251438,Document attributes changed,26
IC254729,Document attributes changed,1
IC255636,Document attributes changed,5
IC255897,Document attributes changed,2
IC256865,Document attributes changed,4
IC258786,Document attributes changed,17
IC261999,Document attributes changed,2
IC263320,Document attributes changed,2
IC266925,Document attributes changed,1
IC267484,Document attributes changed,1
IC276267,Document attributes changed,14
IC290336,Document attributes changed,1
IC296256,Document attributes changed,1
RO177899,Document attributes changed,2
RO214268,Document attributes changed,1
RO303139,Document attributes changed,4
RO364368,Document attributes changed,1
RO496362,Document attributes changed,1
RO513168,Document attributes changed,14
RO536473,Document attributes changed,1
RO603627,Document attributes changed,5
RO644257,Document attributes changed,6
RO654397,Document attributes changed,1
RO895935,Document attributes changed,4
RO945231,Document attributes changed,50
RO974759,Document attributes changed,1
RP401704,Document attributes changed,13
RP581823,Document attributes changed,20
RP822142,Document attributes changed,1
RQ346307,Document attributes changed,15
RQ865554,Document attributes changed,4
RQ868666,Document attributes changed,13
RS506747,Document attributes changed,32
RS991246,Document attributes changed,1
RT101173,Document attributes changed,1
RT187424,Document attributes changed,3
RT193227,Document attributes changed,1
RU122288,Document attributes changed,1
RU125694,Document attributes changed,3
RU205654,Document attributes changed,2
RU523900,Document attributes changed,1
RU698332,Document attributes changed,1
RU699691,Document attributes changed,5
RU741659,Document attributes changed,49
RV123308,Document attributes changed,5
RV344229,Document attributes changed,3
RV415986,Document attributes changed,19
RV592005,Document attributes changed,1
RV594664,Document attributes changed,85
RV617203,Document attributes changed,1
RV644673,Document attributes changed,7
RV804959,Document attributes changed,1
RV805794,Document attributes changed,2
RW123163,Document attributes changed,6
RW467295,Document attributes changed,36
RW586901,Document attributes changed,6
RW921944,Document attributes changed,3
RW997217,Document attributes changed,1
RX126807,Document attributes changed,19
RX127644,Document attributes changed,92
RX170884,Document attributes changed,9
RX179315,Document attributes changed,4
RX223649,Document attributes changed,8
RX236906,Document attributes changed,8
RX270979,Document attributes changed,1
RX302843,Document attributes changed,1
RX328581,Document attributes changed,3
RX362699,Document attributes changed,1
RX369439,Document attributes changed,17
RX376617,Document attributes changed,1
RX391257,Document attributes changed,2
RX422190,Document attributes changed,8
RX456816,Document attributes changed,3
RX460050,Document attributes changed,3
RX474189,Document attributes changed,13
RX610864,Document attributes changed,3
RX630961,Document attributes changed,12
RX723156,Document attributes changed,62
RX764383,Document attributes changed,1
RX785627,Document attributes changed,1
RX810406,Document attributes changed,1
RX826755,Document attributes changed,2
RY1005539,Document attributes changed,9
RY1006893,Document attributes changed,1
RY114679,Document attributes changed,4
RY144215,Document attributes changed,1
RY148065,Document attributes changed,2
RY247959,Document attributes changed,15
RY301396,Document attributes changed,3
RY407304,Document attributes changed,2
RY459854,Document attributes changed,7
RY496094,Document attributes changed,4
RY496095,Document attributes changed,1
RY584648,Document attributes changed,1
RY594752,Document attributes changed,2
RY628824,Document attributes changed,32
RY647161,Document attributes changed,3
RY731791,Document attributes changed,5
RY732107,Document attributes changed,1
RY795760,Document attributes changed,8
RY821888,Document attributes changed,3
RY855770,Document attributes changed,4
RY858835,Document attributes changed,13
RY871083,Document attributes changed,1
RY903861,Document attributes changed,2
RY932140,Document attributes changed,295
RY942764,Document attributes changed,2
RY965136,Document attributes changed,5
RY991185,Document attributes changed,1
RY995467,Document attributes changed,12
RY995735,Document attributes changed,3
RZ175616,Document attributes changed,3
RZ176842,Document attributes changed,8
RZ179598,Document attributes changed,11
RZ205873,Document attributes changed,1
RZ242259,Document attributes changed,94
RZ245213,Document attributes changed,2
RZ250658,Document attributes changed,2
RZ265801,Document attributes changed,1
RZ274487,Document attributes changed,5
RZ289327,Document attributes changed,1
RZ290015,Document attributes changed,1
RZ290047,Document attributes changed,48
RZ319892,Document attributes changed,26
RZ331874,Document attributes changed,7
UA006573,Document attributes changed,4
UA006575,Document attributes changed,1
UA006910,Document attributes changed,2
UA011900,Document attributes changed,8
IC101136,Document attributes changed,1
IC120249,Document attributes changed,4
IC140082,Document attributes changed,4
IC160123,Document attributes changed,4
IC175991,Document attributes changed,1
IC178405,Document attributes changed,1
IC185388,Document attributes changed,3
IC192006,Document attributes changed,6
IC192633,Document attributes changed,1
IC201001,Document attributes changed,2
IC206777,Document attributes changed,1
IC210125,Document attributes changed,1
IC223334,Document attributes changed,1
IC224261,Document attributes changed,3
IC233294,Document attributes changed,2
IC239292,Document attributes changed,2
IC246870,Document attributes changed,24
IC248453,Document attributes changed,1
IC251434,Document attributes changed,3
IC258105,Document attributes changed,9
IC269962,Document attributes changed,1
IC270258,Document attributes changed,2
IC277740,Document attributes changed,1
IC278076,Document attributes changed,2
IC283426,Document attributes changed,10
IC284008,Document attributes changed,5
IC287882,Document attributes changed,1
IC290930,Document attributes changed,1
IC294601,Document attributes changed,1
RO126442,Document attributes changed,1
RO138161,Document attributes changed,1
RO186962,Document attributes changed,3
RO215259,Document attributes changed,1
RO287783,Document attributes changed,1
RO303147,Document attributes changed,1
RO370143,Document attributes changed,4
RO458391,Document attributes changed,1
RO654379,Document attributes changed,2
RO828508,Document attributes changed,1
RO858180,Document attributes changed,4
RP213038,Document attributes changed,1
RP227683,Document attributes changed,2
RP616364,Document attributes changed,1
