metric,rank,user,value
base_activations,1,IC276623,852
base_activations,2,RX422190,712
base_activations,3,RZ325212,489
base_activations,4,RO895935,454
base_activations,5,RY628824,439
base_activations,6,RZ317578,383
base_activations,7,RY475250,381
base_activations,8,RO945231,369
base_activations,9,RQ384302,334
base_activations,10,IC152940,320
unique_employee_panels,1,RX422190,596
unique_employee_panels,2,RZ245213,292
unique_employee_panels,3,IC132270,253
unique_employee_panels,4,RZ317578,236
unique_employee_panels,5,RY496094,219
unique_employee_panels,6,RP416165,213
unique_employee_panels,7,RO945231,212
unique_employee_panels,8,IC216246,196
unique_employee_panels,9,RY868181,194
unique_employee_panels,10,RO685963,188
max_concurrent_panels,1,IC102276,5
max_concurrent_panels,2,IC103350,5
max_concurrent_panels,3,IC104176,5
max_concurrent_panels,4,IC105265,5
max_concurrent_panels,5,IC106786,5
max_concurrent_panels,6,IC106975,5
max_concurrent_panels,7,IC108409,5
max_concurrent_panels,8,IC109071,5
max_concurrent_panels,9,IC109205,5
max_concurrent_panels,10,IC109406,5
panel_switches,1,RX602355,19
panel_switches,2,RZ320129,19
panel_switches,3,RO217127,16
panel_switches,4,RQ346307,14
panel_switches,5,RY628824,13
panel_switches,6,RY825195,12
panel_switches,7,RY154098,12
panel_switches,8,RS514060,11
panel_switches,9,RU741659,11
panel_switches,10,RX223649,11
