user,total_base_activations,employees_activations,documents_activations,import_activations,reports_activations,management_activations,unique_employee_panels_opened,max_concurrent_employee_panels,employee_panel_switches,has_switched_employee_panels
IC100655,4,4,0,0,0,0,3,3,0,False
IC102276,69,69,0,0,0,0,29,5,3,True
IC102660,8,8,0,0,0,0,4,2,0,False
IC102680,12,12,0,0,0,0,8,2,0,False
IC103350,64,64,0,0,0,0,39,5,5,True
IC103908,11,11,0,0,0,0,7,3,0,False
IC104176,40,40,0,0,0,0,23,5,1,True
IC104409,4,3,1,0,0,0,2,2,0,False
IC105265,68,68,0,0,0,0,59,5,0,False
IC106509,8,8,0,0,0,0,2,2,0,False
IC106786,21,21,0,0,0,0,13,5,0,False
IC106975,8,8,0,0,0,0,5,5,0,False
IC107995,11,10,1,0,0,0,4,4,0,False
IC108409,128,128,0,0,0,0,52,5,6,True
IC109071,23,23,0,0,0,0,19,5,0,False
IC109205,8,8,0,0,0,0,7,5,0,False
IC109406,35,35,0,0,0,0,22,5,0,False
IC109488,15,14,0,0,0,1,5,5,1,True
IC109727,12,10,2,0,0,0,6,1,0,False
IC110951,29,29,0,0,0,0,25,5,0,False
IC112224,4,4,0,0,0,0,3,3,0,False
IC112226,93,93,0,0,0,0,63,4,0,False
IC112574,22,22,0,0,0,0,15,5,0,False
IC113268,77,73,0,4,0,0,23,5,5,True
IC113383,5,5,0,0,0,0,4,4,0,False
IC113775,42,42,0,0,0,0,28,5,0,False
IC114957,83,83,0,0,0,0,69,5,0,False
IC115229,28,28,0,0,0,0,20,5,0,False
IC116402,2,2,0,0,0,0,1,1,0,False
IC118451,62,62,0,0,0,0,57,5,0,False
IC118458,9,9,0,0,0,0,0,0,0,False
IC118856,50,50,0,0,0,0,21,5,1,True
IC119286,9,9,0,0,0,0,5,3,0,False
IC120249,27,24,3,0,0,0,17,5,0,False
IC120775,3,3,0,0,0,0,3,3,0,False
IC120970,16,16,0,0,0,0,11,5,0,False
IC121159,125,124,0,0,0,1,75,5,6,True
IC121195,2,2,0,0,0,0,1,1,0,False
IC122329,8,8,0,0,0,0,4,3,1,True
IC122495,30,30,0,0,0,0,15,5,2,True
IC123981,5,5,0,0,0,0,3,3,3,True
IC124700,14,14,0,0,0,0,11,4,0,False
IC127456,78,78,0,0,0,0,61,5,0,False
IC127562,12,12,0,0,0,0,3,2,0,False
IC127988,27,27,0,0,0,0,22,5,0,False
IC128107,48,48,0,0,0,0,37,5,0,False
IC128423,91,91,0,0,0,0,73,5,1,True
IC129446,20,20,0,0,0,0,12,5,0,False
IC129966,4,4,0,0,0,0,4,3,0,False
IC131264,21,21,0,0,0,0,13,5,0,False
IC132270,317,315,2,0,0,0,253,5,6,True
IC132360,31,31,0,0,0,0,23,4,0,False
IC132439,12,12,0,0,0,0,10,5,0,False
IC132451,13,13,0,0,0,0,9,4,0,False
IC134437,43,43,0,0,0,0,22,5,0,False
IC135570,35,34,1,0,0,0,15,5,0,False
IC136229,4,4,0,0,0,0,3,2,0,False
IC136232,19,19,0,0,0,0,11,3,0,False
IC136830,137,137,0,0,0,0,74,5,0,False
IC137270,35,35,0,0,0,0,20,3,0,False
IC137667,15,15,0,0,0,0,8,2,0,False
IC138715,7,7,0,0,0,0,3,3,0,False
IC138783,6,6,0,0,0,0,3,2,0,False
IC139321,58,58,0,0,0,0,33,5,2,True
IC140080,151,151,0,0,0,0,104,5,2,True
IC140139,87,76,1,10,0,0,49,5,2,True
IC140677,130,130,0,0,0,0,56,5,9,True
IC141792,25,20,3,0,2,0,8,3,0,False
IC141917,20,20,0,0,0,0,10,5,1,True
IC141953,13,13,0,0,0,0,9,5,0,False
IC143112,15,15,0,0,0,0,10,3,0,False
IC143954,2,2,0,0,0,0,0,0,0,False
IC144823,42,42,0,0,0,0,21,5,4,True
IC148491,231,231,0,0,0,0,169,4,0,False
IC149008,15,15,0,0,0,0,10,2,0,False
IC149153,36,36,0,0,0,0,24,5,0,False
IC149760,4,4,0,0,0,0,1,1,0,False
IC149773,30,30,0,0,0,0,12,5,0,False
