sort_field,total_uses,unique_users,days_used
ingangsDatum,61538,4638,9
documentOmschrijving,6805,271,8
documentDateModified,6578,333,8
documentAnnotated,451,61,7
afdeling,385,23,8
documentDispositionDate,286,48,7
jobDateSubmitted,193,55,8
documentSize,132,1,5
geldigheidsdatum,126,31,7
vervallen,71,4,6
dienstverbandNummer,63,22,7
medewerkerNaam,59,14,7
bijzonder,45,5,5
vertrouwelijk,24,6,6
vrij1,14,3,4
importDate,13,4,5
vrij3,10,1,3
medewerkerGeboortedatum,9,3,3
documentDateDeleted,7,3,4
medewerkerCode,6,2,1
datumUitDienst,1,1,1
