date,user_id,raw_user_agent,browser,os,device,is_mobile,is_tablet,is_touch_capable,is_pc,is_bot
2025-09-11,RQ486812,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Chrome 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,RP131287,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 Edg/109.0.1518.140",Edge 109.0.1518,Windows 8.1,Other,false,false,false,true,false
2025-09-11,RQ522345,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Chrome 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,IC284091,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",Chrome 139.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RW919786,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,RQ838041,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,IC192633,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RQ902537,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,RV542364,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,RW535549,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Chrome 140.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,IC102680,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",Chrome 139.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-10,RY857089,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0",Edge 132.0.0,Windows 10/11,Other,false,false,false,true,false
2025-09-11,RY664212,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Edge 140.0.0,Windows 10/11,Other,false,false,false,true,false
