user_id,total_folder_selections,different_folders_used,days_active_selecting,most_used_folder
RZ331874,624,13,2,Arbeidsvoorwaarden
RY932140,411,27,1,05.0 Historie
RZ208558,326,8,2,Persoonlijk
IC254817,246,4,2,Salaris
RU340091,217,8,1,Arbeidsvoorwaarden
RZ180496,214,8,2,Persoonlijk
RX422190,211,7,2,Dienstverband
RY628824,199,4,2,Medewerker dossier
RQ868666,180,11,2,Opleidingen
IC152940,172,4,2,Persoonlijke ontwikkeling en functioneren
RZ317578,130,2,2,Medewerker dossier
RZ349495,123,25,2,Overeenkomsten
RZ250658,116,17,2,1. Persoonsgegevens
RZ242259,111,12,2,Dienstverband
RQ346307,99,9,2,Arbeidsvoorwaarden
RY862694,91,11,2,01.1 Formele documenten
RO728943,89,6,2,Arbeidsovereenkomst
RO536473,85,6,2,Persoonlijk
RO945231,85,5,2,Aanstelling en benoeming
RP786763,84,5,2,Importopdrachten
RY153570,81,28,2,Medewerker dossier
RZ322365,80,12,2,2. Arbeidsvoorwaarden
IC140677,79,4,2,Persoonlijk
UA007581,77,5,2,Inzetbaarheid
IC251430,75,6,2,Medewerker dossier
RP432863,75,5,1,1.1) Indiensttreding
IC230839,69,7,2,Arbeidsvoorwaarden
RY148065,68,5,1,Aanstelling en Benoeming
RZ265801,68,5,2,Arbeidsvoorwaarden
RY952360,67,8,2,Persoonlijk
RY1005611,67,6,1,Historie
RV789881,64,3,2,Medewerker dossier
IC217961,64,9,1,Loopbaan
RY650124,64,12,1,Opleiding en vorming
RZ225252,64,15,2,Persoonsgegevens
RX362699,63,1,2,Medewerker dossier
RY1005539,62,11,2,Sollicitatie indiensttreding
RX223649,60,6,2,Overeenkomsten
RY651844,60,5,2,Arbeidsvoorwaarden
RO535754,59,6,2,Arbeidsvoorwaarden
RO603554,58,6,2,Opleidingen
RY913551,58,7,2,Persoonlijke ontwikkeling en functioneren
RZ176842,57,1,2,Medewerker dossier
RO217127,56,4,1,Functie en Functioneren
RT936314,56,9,2,Arbeidsvoorwaarden
RV418433,55,7,1,Loopbaanontwikkeling
RO1029975,54,5,1,01 Indiensttreding
RX333522,53,17,2,Salaris
RT187424,53,6,2,Medewerker dossier
RQ865554,52,8,2,Arbeidsovereenkomsten
RV609042,52,2,1,Medewerker dossier
RZ247420,52,5,1,Medewerker dossier
RV344229,50,6,2,Arbeidsvoorwaarden
RY868181,50,8,1,01.1 Formele documenten
RQ345584,50,5,1,Arbeidsvoorwaarden
RY501609,49,32,1,Gebruikersovereenkomsten
RZ327135,49,14,2,Persoonsgegevens
RY541328,48,7,2,Arbeidsvoorwaarden
RV328679,48,1,1,Medewerker dossier
RT936312,48,6,2,Arbeidsvoorwaarden
RY992264,47,3,2,02.1 Arbeidsovereenkomst
IC144021,47,3,1,Medewerker dossier
RY906057,47,3,1,Arbeidsvoorwaarden
RZ317970,46,8,2,Functioneren en loopbaan
RU688656,46,3,2,Salarisgegevens
IC132270,46,7,2,Secundaire arbeidsvoorwaarden
