user_id,total_sort_actions,different_fields_used,different_combinations_used,days_active_sorting,most_used_field,preferred_direction
RX422190,835,1,1,7,documentDateModified,DESC
RU340091,826,3,5,4,ingangsDatum,DESC
RZ331874,692,2,4,6,documentDateModified,DESC
RV594664,681,2,4,5,ingangsDatum,DESC
RX918956,656,1,1,3,ingangsDatum,DESC
RZ225252,575,1,2,7,documentOmschrijving,DESC
RZ208558,523,1,1,6,documentOmschrijving,ASC
RQ384302,432,1,1,5,documentOmschrijving,ASC
RY932140,430,3,3,5,ingangsDatum,DESC
RO945231,420,1,1,8,ingangsDatum,DESC
RQ346307,409,2,3,7,ingangsDatum,DESC
RY868181,393,1,1,3,ingangsDatum,DESC
RZ180496,359,2,3,3,documentOmschrijving,ASC
RU688656,349,1,1,5,documentOmschrijving,ASC
RU741659,343,5,7,6,documentDateModified,DESC
RZ320129,336,1,1,4,ingangsDatum,DESC
RZ242259,318,2,3,6,ingangsDatum,DESC
RY821888,314,1,2,6,documentDateModified,DESC
RZ265801,293,1,1,6,ingangsDatum,DESC
IC152940,285,1,1,8,ingangsDatum,ASC
RY628824,274,3,4,6,ingangsDatum,DESC
RS514060,270,2,2,6,ingangsDatum,DESC
IC251435,257,1,1,7,ingangsDatum,DESC
RQ868666,253,1,1,5,ingangsDatum,DESC
RZ250658,250,2,3,6,documentDateModified,DESC
IC132270,247,2,2,7,ingangsDatum,DESC
IC282225,245,1,1,4,ingangsDatum,DESC
RZ349495,245,1,1,6,ingangsDatum,DESC
RZ146655,234,1,2,5,documentOmschrijving,DESC
RZ317578,217,4,7,5,ingangsDatum,DESC
IC255636,210,1,1,6,ingangsDatum,DESC
RX872245,195,1,1,4,ingangsDatum,DESC
RP482811,190,4,8,7,documentDateModified,ASC
RX322855,190,1,1,6,ingangsDatum,DESC
IC140677,175,1,1,5,documentOmschrijving,DESC
RX223649,174,1,1,5,ingangsDatum,DESC
RW906894,172,2,3,3,documentDateModified,DESC
IC242095,171,2,3,4,ingangsDatum,DESC
RY649865,170,1,1,5,ingangsDatum,DESC
RX544628,163,1,1,1,ingangsDatum,DESC
RY247959,160,1,1,7,documentDateModified,DESC
RO728943,160,2,4,7,ingangsDatum,DESC
RO518429,160,1,2,7,documentOmschrijving,ASC
RZ331860,160,1,1,6,ingangsDatum,DESC
RO864156,157,1,1,4,ingangsDatum,DESC
RO536473,153,1,2,2,ingangsDatum,DESC
IC231270,153,2,3,6,ingangsDatum,DESC
RZ353612,149,1,2,2,ingangsDatum,DESC
RO138161,148,1,1,4,ingangsDatum,DESC
RY232043,147,1,1,3,ingangsDatum,DESC
RY478866,143,1,2,3,ingangsDatum,DESC
RO685963,143,1,1,4,ingangsDatum,DESC
IC231300,141,1,1,6,ingangsDatum,DESC
IC140082,139,1,1,4,ingangsDatum,DESC
RY952360,139,1,1,6,ingangsDatum,DESC
IC224261,138,4,7,4,ingangsDatum,DESC
RO895935,138,1,1,6,documentDateModified,DESC
RY1005539,137,1,1,3,documentOmschrijving,ASC
RY908449,137,1,1,2,ingangsDatum,DESC
IC254817,136,1,2,4,ingangsDatum,DESC
RV436658,135,1,1,5,ingangsDatum,DESC
IC259288,134,1,1,5,ingangsDatum,DESC
RV450503,133,2,3,5,documentDateModified,DESC
IC185388,133,2,3,4,ingangsDatum,DESC
RP336825,132,1,1,5,documentSize,ASC
IC108409,131,2,2,7,ingangsDatum,DESC
RT936312,131,1,1,5,ingangsDatum,DESC
RT193227,130,1,1,4,documentOmschrijving,ASC
RY148065,130,1,1,4,ingangsDatum,DESC
IC193305,128,1,1,5,ingangsDatum,DESC
RO219479,127,2,3,4,ingangsDatum,DESC
UA007581,127,3,4,7,ingangsDatum,DESC
RV754723,126,1,1,3,documentOmschrijving,ASC
IC251434,125,1,1,5,ingangsDatum,DESC
IC210755,124,1,1,4,ingangsDatum,DESC
IC148491,123,1,1,6,documentDateModified,DESC
RY862694,123,1,1,5,ingangsDatum,DESC
RY584648,122,1,2,6,ingangsDatum,DESC
IC196881,122,1,1,6,ingangsDatum,DESC
RY892276,121,1,1,6,ingangsDatum,DESC
IC230839,121,1,1,5,ingangsDatum,DESC
RT936314,120,1,1,6,documentOmschrijving,ASC
RZ325210,120,1,1,5,ingangsDatum,DESC
RO175811,120,1,1,4,ingangsDatum,DESC
RZ109298,118,1,1,5,ingangsDatum,DESC
RY114679,117,1,1,6,ingangsDatum,DESC
RO681128,116,1,2,4,documentDateModified,DESC
IC267577,116,1,1,6,ingangsDatum,DESC
RX818542,115,1,1,7,ingangsDatum,DESC
RQ578194,115,1,1,3,documentOmschrijving,ASC
RW217956,115,1,1,6,ingangsDatum,DESC
RX865723,114,1,1,6,ingangsDatum,DESC
IC152941,113,1,1,4,ingangsDatum,DESC
RV344229,112,1,1,6,ingangsDatum,DESC
RX637489,112,1,1,2,ingangsDatum,DESC
RO186962,111,3,4,6,ingangsDatum,DESC
RO535754,111,1,1,3,ingangsDatum,DESC
RY496094,111,1,1,7,ingangsDatum,DESC
RP581823,109,2,3,6,ingangsDatum,DESC
RW754632,109,1,1,5,ingangsDatum,DESC
RT337404,108,1,1,6,ingangsDatum,DESC
IC296504,108,1,1,6,ingangsDatum,DESC
RZ213595,108,1,1,3,ingangsDatum,ASC
IC140080,108,1,1,5,ingangsDatum,DESC
RZ289327,107,1,1,4,ingangsDatum,DESC
RX294825,105,1,1,1,ingangsDatum,DESC
RW912949,105,1,1,5,ingangsDatum,DESC
IC247163,104,1,1,7,ingangsDatum,DESC
RY704716,104,1,1,6,ingangsDatum,DESC
RX455728,103,1,1,4,ingangsDatum,DESC
RX932436,102,1,1,6,ingangsDatum,DESC
UA011900,101,2,4,5,ingangsDatum,ASC
RV669791,100,2,3,2,ingangsDatum,DESC
RX826755,100,1,1,7,ingangsDatum,DESC
RW467295,99,1,1,5,ingangsDatum,DESC
RY825195,99,3,3,3,ingangsDatum,DESC
RY541328,98,1,1,5,ingangsDatum,DESC
IC230190,97,1,1,5,afdeling,ASC
RX345785,97,1,1,6,ingangsDatum,DESC
RX295117,97,1,2,6,ingangsDatum,DESC
RU107565,96,1,1,2,ingangsDatum,DESC
RO389357,96,1,1,4,ingangsDatum,DESC
RT187424,96,1,1,5,ingangsDatum,DESC
RO654397,94,2,4,4,ingangsDatum,DESC
RY650124,94,1,1,3,documentOmschrijving,DESC
RO319537,92,1,1,4,ingangsDatum,DESC
RP482603,92,1,1,5,ingangsDatum,DESC
RZ176842,92,2,3,2,ingangsDatum,ASC
RU262723,91,2,3,1,documentOmschrijving,DESC
IC208299,91,1,1,6,ingangsDatum,DESC
RX764383,91,1,1,7,ingangsDatum,DESC
RY853880,90,1,1,4,ingangsDatum,DESC
RY651844,90,1,1,7,ingangsDatum,DESC
UA000545,88,2,4,4,ingangsDatum,DESC
RU389639,87,1,1,5,ingangsDatum,DESC
RY407304,85,1,1,6,documentDateModified,DESC
RT130368,85,1,1,6,ingangsDatum,ASC
IC178405,83,1,1,5,ingangsDatum,DESC
RY835838,83,1,1,6,ingangsDatum,DESC
RX630580,82,1,1,4,ingangsDatum,DESC
RW637240,82,1,1,4,ingangsDatum,DESC
RY504768,82,1,1,6,ingangsDatum,DESC
RY459854,82,2,3,5,documentOmschrijving,ASC
RZ247420,81,1,1,3,ingangsDatum,DESC
UA011912,81,1,1,5,ingangsDatum,DESC
RP786763,81,2,2,3,jobDateSubmitted,DESC
RO513168,81,1,1,6,ingangsDatum,DESC
RQ865554,80,1,1,6,ingangsDatum,DESC
RX362699,80,1,1,6,ingangsDatum,DESC
IC287045,79,1,1,4,documentOmschrijving,ASC
RO603554,79,1,1,7,ingangsDatum,DESC
IC103350,78,1,1,6,ingangsDatum,DESC
RX610864,78,1,1,5,ingangsDatum,DESC
RU101975,78,1,1,5,ingangsDatum,DESC
IC118451,77,1,1,1,ingangsDatum,DESC
IC251437,77,1,1,6,ingangsDatum,DESC
UA007008,77,2,4,3,ingangsDatum,DESC
RZ176280,77,1,1,6,ingangsDatum,DESC
RZ322365,76,1,1,6,ingangsDatum,DESC
IC251427,76,1,1,6,documentOmschrijving,ASC
RQ406113,76,1,1,4,ingangsDatum,DESC
RZ283572,75,1,1,5,ingangsDatum,DESC
RY731791,75,3,4,7,documentDateModified,DESC
RY831798,75,2,4,6,ingangsDatum,DESC
IC219359,75,1,2,4,ingangsDatum,DESC
RP530657,74,1,1,6,ingangsDatum,DESC
RZ206569,74,1,1,6,ingangsDatum,DESC
RZ317970,74,2,2,5,ingangsDatum,DESC
RY780754,73,1,1,7,ingangsDatum,DESC
RX127644,73,3,5,3,documentOmschrijving,ASC
RY153570,73,1,1,3,ingangsDatum,DESC
RY506327,72,1,1,1,documentOmschrijving,ASC
RX927955,72,1,1,5,ingangsDatum,DESC
RX930458,72,1,1,4,ingangsDatum,DESC
RY943595,72,1,1,4,ingangsDatum,DESC
RW523784,71,1,1,5,ingangsDatum,DESC
RX460050,71,7,9,6,ingangsDatum,ASC
RO217127,71,1,1,2,documentOmschrijving,ASC
RS479787,71,1,1,3,documentDateModified,DESC
RW761237,71,1,1,3,ingangsDatum,ASC
RX785627,71,2,2,6,ingangsDatum,DESC
RS634748,71,1,1,3,ingangsDatum,DESC
IC294545,70,1,1,7,documentDateModified,DESC
RY273199,70,2,4,5,documentDateModified,DESC
RY944404,69,1,1,5,documentDateModified,DESC
RY678035,69,1,1,2,ingangsDatum,DESC
RY944230,69,1,1,5,ingangsDatum,DESC
IC290336,69,2,3,6,ingangsDatum,ASC
IC187288,69,1,1,4,ingangsDatum,DESC
IC290930,69,1,1,5,ingangsDatum,DESC
UA006266,69,1,1,6,ingangsDatum,DESC
RZ185602,68,2,2,3,ingangsDatum,DESC
IC113268,68,1,1,5,ingangsDatum,DESC
RZ275384,67,1,1,5,ingangsDatum,DESC
RO303139,67,1,1,6,ingangsDatum,DESC
IC255897,67,1,1,6,ingangsDatum,DESC
IC251438,67,1,1,6,ingangsDatum,DESC
RO177875,67,1,1,6,documentOmschrijving,ASC
RY530625,67,1,1,4,ingangsDatum,DESC
RO458385,67,1,1,3,ingangsDatum,DESC
RP774403,66,1,1,2,ingangsDatum,DESC
RO443969,66,1,1,4,ingangsDatum,DESC
RO496362,66,1,1,3,ingangsDatum,DESC
RY290347,66,2,4,4,ingangsDatum,DESC
RY457745,65,1,1,6,ingangsDatum,ASC
IC114957,65,1,1,4,ingangsDatum,DESC
UA012185,65,1,1,2,ingangsDatum,DESC
RV123308,65,2,3,6,documentDateModified,DESC
RX723156,64,1,1,2,ingangsDatum,DESC
IC136830,64,1,1,5,ingangsDatum,DESC
RY1005986,64,1,1,5,ingangsDatum,DESC
IC136230,64,1,1,3,ingangsDatum,DESC
RZ205873,63,1,1,6,ingangsDatum,DESC
RZ251246,63,1,1,5,ingangsDatum,DESC
IC127456,63,1,1,2,afdeling,ASC
RX780932,63,1,1,5,ingangsDatum,DESC
IC214007,63,1,1,3,documentOmschrijving,ASC
IC217961,62,1,1,3,ingangsDatum,DESC
RU416247,62,1,1,5,ingangsDatum,DESC
RX162364,62,1,1,2,ingangsDatum,DESC
RY647161,62,1,1,7,ingangsDatum,DESC
RZ350877,61,1,1,3,ingangsDatum,DESC
UA003101,61,1,1,2,ingangsDatum,DESC
RO519804,61,1,1,6,ingangsDatum,DESC
RP213038,61,1,1,5,ingangsDatum,DESC
RY832185,61,1,1,3,ingangsDatum,DESC
RZ149789,61,1,1,2,ingangsDatum,DESC
RU478482,61,1,1,3,ingangsDatum,DESC
RY965136,60,1,1,4,ingangsDatum,DESC
RP830570,60,1,1,4,ingangsDatum,DESC
RO644257,60,1,1,5,ingangsDatum,DESC
RZ259363,59,1,1,3,ingangsDatum,DESC
RW921944,58,1,1,6,ingangsDatum,DESC
RQ318909,58,1,1,4,documentDateModified,DESC
RY862593,58,1,1,3,ingangsDatum,DESC
RZ319892,58,1,1,5,ingangsDatum,DESC
IC139321,58,2,2,5,ingangsDatum,DESC
RZ178881,58,2,2,5,ingangsDatum,DESC
RY860908,58,1,1,6,ingangsDatum,DESC
RY666911,58,1,1,6,ingangsDatum,DESC
RX270979,58,1,1,6,ingangsDatum,DESC
RY871083,57,1,1,6,ingangsDatum,DESC
RQ345584,57,1,1,4,ingangsDatum,DESC
RY687189,57,2,2,4,ingangsDatum,DESC
IC203507,57,1,1,6,ingangsDatum,DESC
RV418433,57,1,1,2,ingangsDatum,ASC
RY139830,57,1,1,5,ingangsDatum,DESC
RO654379,57,1,1,5,documentOmschrijving,DESC
IC293776,56,1,1,2,afdeling,DESC
RY737737,56,1,1,5,ingangsDatum,DESC
RV818477,56,1,1,3,ingangsDatum,DESC
RO603627,56,1,1,5,documentDateModified,DESC
RY154098,56,1,1,1,ingangsDatum,DESC
RV328679,56,1,1,3,ingangsDatum,DESC
RT187332,56,1,1,4,ingangsDatum,DESC
UA011949,56,1,2,2,ingangsDatum,DESC
UA010584,56,1,1,4,ingangsDatum,DESC
RP821932,56,1,1,1,documentOmschrijving,ASC
RX630961,56,1,1,6,ingangsDatum,DESC
RY862322,56,1,1,3,ingangsDatum,DESC
IC239430,55,1,1,6,ingangsDatum,DESC
RX333522,55,1,1,3,documentOmschrijving,DESC
RQ147863,55,1,1,5,ingangsDatum,DESC
RY795760,55,1,1,5,ingangsDatum,DESC
RY601588,55,1,1,2,ingangsDatum,DESC
IC231227,55,1,1,6,ingangsDatum,DESC
IC204385,55,1,1,6,documentDateModified,DESC
IC121159,55,1,2,6,ingangsDatum,DESC
RW194975,55,1,1,6,ingangsDatum,DESC
IC271778,55,2,4,5,ingangsDatum,DESC
RO126644,55,2,3,6,ingangsDatum,DESC
RZ319668,54,1,1,5,ingangsDatum,DESC
UA008174,54,1,1,4,ingangsDatum,DESC
RX328581,54,1,1,7,ingangsDatum,DESC
RY853226,54,1,1,5,ingangsDatum,DESC
RY654788,53,1,1,5,ingangsDatum,DESC
UA004497,53,2,3,4,documentOmschrijving,DESC
RP136161,53,1,1,4,ingangsDatum,DESC
RZ211997,53,2,3,5,ingangsDatum,DESC
